,master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,master_metadata_album_artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
5411,WHATS POPPIN,Sweet Action,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,Jack Harlow,0.017,0.923,139741,0.604,0.0,11,0.272,-6.671,0,0.245,145.062,4,0.826
5412,,,spotify:track:1jaVHAdoEONRCrcNvRtCFY,,0.135,0.69,201493,0.486,0.000499,11,0.0891,-7.581,0,0.44,102.964,4,0.538
5413,,,spotify:track:1jb0InUlNCmPSh7OaQpW23,,0.218,0.678,147353,0.657,1.5e-05,1,0.668,-10.611,1,0.546,169.891,4,0.818
5414,Intro,Das muss eine Demokratie aushalten können,"spotify:track:1jb0InUlNCmPSh7OaQpW23,spotify:track:78vPmRRf0Qxct5yUx06A1g,spotify:track:7baglbuBn8XF5T7NuDNS8F",Waving The Guns,,,,,,,,,,,,,
5415,Equinox,Chillhop Essentials Fall 2018,spotify:track:1jbh7orOEd4itgOjiihVEJ,Chris Mazuera,0.77,0.711,112000,0.206,0.916,7,0.131,-11.173,0,0.0428,142.086,4,0.41
5416,Junya,Donda,spotify:track:1jgcODbfAL3tV7tikF6n1j,Kanye West,0.27,0.752,147669,0.69,0.0,7,0.303,-3.948,1,0.0642,148.07,4,0.396
5417,"Percy Jackson: Der Fluch des Titanen, Teil 3 - Kapitel 24","Percy Jackson, Teil 3: Der Fluch des Titanen",spotify:track:1jh8VGpqkKqFjflD8UlgB4,Rick Riordan,0.183,0.688,382293,0.375,0.0,9,0.359,-15.809,1,0.958,101.939,5,0.593
5418,Mit vollen Händen,Muttersprache,spotify:track:1jjNd3bUUSNjq3NpEUax7m,Sarah Connor,0.252,0.619,228959,0.406,0.0,0,0.0812,-6.33,1,0.0325,130.439,4,0.18
5419,Spain - Composite Alternative Take,Light As A Feather,spotify:track:1jji1sWxZOo7eWnXifT7yP,Chick Corea,0.887,0.38,333667,0.503,0.93,11,0.14,-12.68,0,0.0453,143.112,4,0.279
5420,Bright Lies - Bergfilm Remix,Bright Lies (Bergfilm Remix),spotify:track:1jm7eXH9pAD6yMnqEbLIWt,Bergfilm,0.0468,0.272,192000,0.672,0.000216,5,0.0689,-5.933,0,0.0433,67.55,3,0.511
5421,008 - Vorsicht Strandhaie! - Teil 17,008/Vorsicht Strandhaie,spotify:track:1jmGpLGeQv7tD6LKgphLN3,Die drei !!!,0.813,0.6,107080,0.73,0.0,2,0.661,-10.349,1,0.871,98.096,4,0.546
5422,low again,low again,spotify:track:1jnEVsWOHIlWwkE6JCr572,JonesJrr,0.926,0.645,215425,0.425,0.0,10,0.179,-10.132,1,0.173,75.996,4,0.206
5423,Intro.,Das verlorene Symbol,spotify:track:1jnsfuqrJof6cqBbuQEFzu,Dan Brown,0.391,0.641,342907,0.374,0.0,11,0.111,-18.031,0,0.946,89.486,4,0.5
5424,Killshot,Killshot,spotify:track:1jo3TwNGCXfNdB5uba3ZVv,Eminem,0.0995,0.893,253580,0.651,0.0,0,0.371,-8.647,0,0.367,105.835,4,0.6
5425,Burn It to the Ground,Dark Horse,spotify:track:1jq28NGw6wdtFKx8MBPy6C,Nickelback,0.000247,0.617,212347,0.922,0.388,11,0.363,-3.474,1,0.0744,132.059,4,0.6
5426,This Is the End (For You My Friend),For Blood And Empire,spotify:track:1jvqZQtbBGK5GJCGT615ao,Anti-Flag,0.0205,0.546,192067,0.875,0.0,1,0.0669,-3.631,1,0.0445,101.693,4,0.765
5427,long ago.,long ago.,spotify:track:1jyBpsr9iyf4OqlWictzAN,halberd,0.457,0.752,126087,0.31,0.812,0,0.161,-12.41,0,0.129,163.305,4,0.551
5428,Digital Girls,Love Intolerant,spotify:track:1jyHrQ3pgTTuLFVcqGMIkm,Paula Stellar,0.951,0.638,247859,0.0796,0.0,9,0.101,-13.967,0,0.068,125.883,4,0.323
5429,Potato Salad,Potato Salad,spotify:track:1jzIJcHCXneHw7ojC6LXiF,"Tyler, The Creator",0.308,0.538,182493,0.612,0.0,2,0.213,-6.02,1,0.424,168.197,4,0.684
5430,Ain't No Sunshine,Just As I Am,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,Bill Withers,0.457,0.527,125093,0.415,1.72e-05,4,0.117,-11.451,0,0.122,78.169,4,0.515
5431,Spanish Moss,Spanische Gitarrenmusik Für Den Flamenco,spotify:track:1k1IXnfyfLS5VtwOX6eVGN,Kenneth King,0.909,0.634,205218,0.537,0.842,0,0.13,-12.074,1,0.0446,124.012,4,0.163
5432,I Remember You,I Remember You,spotify:track:1k2KhAnHidiCUsTyOiJtr2,Alec Taylor Trio,0.964,0.472,182027,0.137,0.916,5,0.111,-17.511,1,0.0373,98.095,4,0.15
5433,Quiet Conversations,Lofi Exposure 1,spotify:track:1k36lDox5k2w0DzCdzSOkt,Chill Beats Music,0.125,0.783,163780,0.259,0.879,6,0.0979,-12.53,1,0.0844,81.983,4,0.404
5434,Punchline,Punchline,spotify:track:1k4RxtywugrctzLCZUrqnE,Josef Salvat,0.0689,0.548,301587,0.496,0.0121,1,0.103,-7.783,0,0.0313,79.971,4,0.226
5435,The Viking,Viking,spotify:track:1k4d6n2q3p6Ez3PxGxpgVx,Lars Frederiksen and the Bastards,0.206,0.624,305333,0.784,0.000248,2,0.224,-4.565,1,0.0904,98.891,4,0.615
5436,for when it's warmer,Chillhop Essentials Summer 2019,spotify:track:1k5E9ztZXfO2pY5ly73shO,Sleepy Fish,0.868,0.713,216429,0.39,0.942,9,0.0884,-12.229,1,0.0395,86.999,4,0.288
5437,You're the Dream I Never Wanna Wake Up From,You're the Dream I Never Wanna Wake Up From,spotify:track:1k6WdNgK2EFLIr3opwgCpm,sad boy with a laptop,0.332,0.756,141000,0.272,0.929,2,0.0885,-16.996,1,0.269,159.784,4,0.517
5438,Farmers Pleasure,Jah Cure Masterpiece,spotify:track:1k6loxYe0DUh8kPInZeOyY,Jah Cure,0.279,0.655,246493,0.558,0.0,7,0.0954,-7.765,0,0.142,87.581,4,0.334
5439,Habit,Gabrielle Shonk,spotify:track:1k6uvEK5t4iGvPxPDVjihy,Gabrielle Shonk,0.194,0.489,249413,0.465,1.26e-06,7,0.105,-5.967,0,0.0342,114.344,3,0.306
5440,The Bastard's Way,East Side of Nowhere,spotify:track:1k7P4ZDgYnBuC7nfA3lTkg,Far From Finished,0.194,0.544,187533,0.677,0.0,7,0.0979,-6.515,1,0.0349,106.777,4,0.782
5441,hang up,not enough,spotify:track:1k7boOEUhooHoUBfAJM669,pettersson,0.863,0.825,80090,0.185,0.96,4,0.119,-13.232,1,0.167,88.403,4,0.793
5442,"Wachet auf, ruft uns die Stimme, Cantata BWV 140: IV. ""Zion hört die Wächter singen""","Bach, J.S.: Cantata BWV 140, Magnificat BWV 243",spotify:track:1k82bzEjGy47GX0EbVPseH,Johann Sebastian Bach,0.861,0.147,356867,0.165,0.478,3,0.129,-19.898,1,0.037,143.528,3,0.159
5443,Forward Thinking,Pushed,spotify:track:1k8vSLN0THGlXiODHRAZv6,Prolix,0.00275,0.59,277804,0.897,0.0709,1,0.158,-1.851,1,0.19,173.122,4,0.386
5444,Soft Like Rain,Soft Like Rain,spotify:track:1kA2atXO3zrz1L5uEZpVcB,Anita Rosswell,0.907,0.448,168565,0.0556,0.658,0,0.106,-19.131,1,0.0422,91.24,4,0.296
5445,Vinho Verde,Vinho Verde,spotify:track:1kAY7mVYSQBKA82E9CcD9e,Clap Cotton,0.68,0.791,148500,0.199,0.905,9,0.107,-9.431,0,0.39,77.995,4,0.78
5446,Sie,D,spotify:track:1kC06P3QlQnGgU0rwZnmZ1,Die Prinzen,0.0908,0.723,225667,0.709,2.67e-05,4,0.247,-5.802,1,0.0335,120.011,4,0.698
5447,Circus Maximus - Aerophon Remix,Circus Maximus (Remixes),spotify:track:1kCIqEwAWsVezd3Y4qZsVB,Tape Five,0.194,0.763,214355,0.871,0.00109,9,0.265,-6.332,0,0.0652,127.999,4,0.85
5448,Think (About It),Think (About It),spotify:track:1kG2PZ8geznbDA8I6iWeDi,Lyn Collins,0.204,0.773,204160,0.561,0.0,9,0.0575,-10.224,1,0.225,112.582,4,0.717
5449,Sky,Sky,spotify:track:1kK83VPS5uYiHuEO5Dz9pQ,Hannes Gotschy,0.371,0.674,225259,0.774,0.121,2,0.772,-5.991,1,0.0988,130.053,4,0.505
5450,watermelon,watermelon,spotify:track:1kKLYwhVH3CQjZkWFn4Lb4,flâneur,0.588,0.723,136933,0.599,0.792,11,0.383,-11.836,0,0.067,91.962,4,0.276
5451,march of the resistance ~ star wars lofi,march of the resistance ~ star wars lofi,spotify:track:1kKdvtxeX9BRITgj4UsUjc,Closed on Sunday,0.871,0.779,107960,0.435,0.858,6,0.132,-12.103,1,0.0449,89.065,4,0.493
5452,Hardcore,Dark Connection,spotify:track:1kKzLv3w7I5NXzEtWkSzi4,Beast In Black,1.44e-05,0.462,214134,0.935,0.0415,6,0.111,-5.215,0,0.0417,139.961,4,0.721
5453,Down,Fade,spotify:track:1kLiF1FJ8Nsj3xh0pt9Yjs,RandBox,0.895,0.679,243371,0.238,0.95,11,0.336,-17.433,0,0.033,143.903,4,0.297
5454,Butterfly Princess,She Stole My Heart,spotify:track:1kLzeHGRyVzACePnPikgsy,Midnight Sound Band,0.909,0.447,219980,0.193,0.159,0,0.117,-17.599,0,0.0306,91.941,4,0.0963
5455,"Oh, My NOLA","Oh, My NOLA",spotify:track:1kMfXJgwcwHvJRu73xrvUZ,"Harry Connick, Jr.",0.6,0.682,237973,0.544,0.0,5,0.119,-10.165,1,0.0749,131.772,4,0.611
5456,Meister und Idiot,Das nullte Kapitel,spotify:track:1kOolYBw4yUWrb1moinOu3,Käptn Peng,0.39,0.747,304716,0.534,0.0,9,0.455,-9.002,0,0.299,87.45,4,0.7
5457,Good Time,The Midsummer Station,spotify:track:1kPpge9JDLpcj15qgrPbYX,Owl City,0.0239,0.56,205933,0.872,6.98e-06,3,0.371,-4.269,1,0.14,126.05,4,0.682
5458,Gone,Gone,spotify:track:1kRDQmDFXXmKvhuKfKOVOW,La Fraicheur,0.0354,0.698,409751,0.636,0.85,0,0.313,-11.48,1,0.0601,121.997,4,0.0724
5459,Wunderschöne Welt,Gaffa,spotify:track:1kRI5hpJl7fnIAouhptOl1,Argonautiks,0.218,0.769,157420,0.447,4.88e-06,7,0.111,-9.783,1,0.385,93.109,4,0.253
5460,Blitzlichtgewitter,Blitze aus Gold,spotify:track:1kSM1qYqxjx6cY16MMSLiU,Chefboss,0.0718,0.781,194693,0.957,0.0,11,0.0704,-2.949,1,0.215,99.991,4,0.195
5461,All Your Love,BODY N SOUL,spotify:track:1kVQyynHa4VgPGISGoQZ8x,C Y G N,0.0604,0.593,142250,0.439,0.741,5,0.117,-8.076,0,0.045,80.991,4,0.294
5462,"Merlot, Macht & Muse",Hohes Fieber,spotify:track:1kVm5oF3lmztkX3zimdbFP,Alli Neumann,0.272,0.684,207400,0.693,0.0,4,0.191,-4.434,0,0.0342,136.043,4,0.521
5463,"Sakrileg, Kapitel 89",Sakrileg,spotify:track:1kW3vVbFqbJ3g5h7bTm9nG,Dan Brown,0.227,0.72,443973,0.492,0.0,2,0.745,-13.894,1,0.899,124.169,3,0.544
5464,,,spotify:track:1kY0G2u4fxQCmivuc0Xc9O,,0.734,0.719,179600,0.225,0.156,0,0.077,-17.044,1,0.0459,119.784,4,0.726
5465,"Sommer, Sonne, Kaktus!","Sommer, Sonne, Kaktus!",spotify:track:1kZFEik5tEqtx601B49yCf,Helge Schneider,0.0661,0.723,218453,0.468,0.0,0,0.353,-9.536,1,0.411,96.511,4,0.895
5466,There and Back,Chillhop Essentials Winter 2020,spotify:track:1kZe8PQcClJXxa1I1iK7vN,Shopan,0.118,0.668,191736,0.225,0.823,9,0.138,-14.813,1,0.0557,162.23,4,0.394
5467,,,spotify:track:1kaprmYleD8JE3lfOFofv6,,0.995,0.441,256469,0.0145,0.946,5,0.229,-29.7,0,0.0346,70.891,3,0.122
5468,La fee verte,Hermetism,"spotify:track:1kaprmYleD8JE3lfOFofv6,spotify:track:4XL280sVyPbURacG3an68x",Joep Beving,,,,,,,,,,,,,
5469,"Piano Concerto No. 1 In E Minor, Op. 11: 1. Allegro maestoso",Chopin: Piano Concertos Nos.1 & 2,spotify:track:1kcRgEBrqgA5mmzGwDntrF,Frédéric Chopin,0.977,0.181,1404000,0.136,0.889,4,0.124,-16.574,0,0.0429,73.805,3,0.047
5470,Weil ich ein Mädchen bin,La Goassn,spotify:track:1kcYWkgJfwudMAVRaJwDKF,La Goassn,0.156,0.768,190853,0.973,7.3e-05,11,0.159,-5.155,0,0.126,99.018,4,0.686
5471,Zomby Woof (Arr. P. Hess),Asphalt Orchestra,spotify:track:1kf44GgR5RuMLKSBBZNTUu,Frank Zappa,0.125,0.627,246200,0.792,0.335,2,0.295,-6.595,1,0.179,94.489,4,0.678
5472,Between Dreams,Dreamland,spotify:track:1kf8Z4GOqTpRqhZ7q3Orsc,Saib,0.676,0.737,131333,0.611,0.914,11,0.093,-6.377,1,0.125,180.183,4,0.312
5473,Soon,Blackmagic Version 3.0 (Starving Artist),spotify:track:1kfQmWnwajgFHQhJMvk6LF,Blackmagic,0.56,0.632,184800,0.375,2.18e-06,9,0.137,-9.56,1,0.271,126.116,5,0.66
5474,All Souled Out,Morning Jawns,spotify:track:1khvYlmSC5hhMCLlIsClBl,MFakka,0.165,0.713,167497,0.389,0.637,1,0.0706,-8.157,1,0.0839,178.07,4,0.217
5475,empty,‎whatevernowiscalled,spotify:track:1kkGlYpss80LtmwIYuaBXw,maxime.,0.227,0.875,134400,0.359,0.264,7,0.105,-11.823,1,0.143,100.043,4,0.574
5476,"Relax, Take It Easy",Life In Cartoon Motion,spotify:track:1kmhdq0RfZFdfSLaTsiTVi,MIKA,0.0567,0.698,270000,0.693,0.0161,6,0.129,-8.218,0,0.0329,121.859,4,0.608
5477,Just the Two of Us (feat. Bill Withers),Anthology,spotify:track:1ko2lVN0vKGUl9zrU0qSlT,"Grover Washington, Jr.",0.41,0.749,438493,0.497,0.0499,10,0.0504,-12.609,0,0.105,95.818,4,0.585
5478,Dire Dire Docks,"Dire, Dire Docks",spotify:track:1kq1QqgF4iwRuEGYiGjR8s,Formal Chicken,0.211,0.491,132429,0.361,0.506,0,0.1,-12.273,1,0.0309,60.023,4,0.188
5479,,,spotify:track:1kqc6U8hVYZhY0gFGQclCz,,0.227,0.515,198400,0.449,0.0357,5,0.171,-14.468,1,0.0337,149.966,4,0.792
5480,girls,girls,"spotify:track:1kqc6U8hVYZhY0gFGQclCz,spotify:track:5rDzL33WiYowiXlZhwWvst",girl in red,,,,,,,,,,,,,
5481,Atari T-Shirt,A!,spotify:track:1ksXRjJzmNe4xsOxDKjAwk,Alexa Feser,0.62,0.688,234443,0.813,0.00455,11,0.0745,-6.955,1,0.0368,112.004,3,0.451
5482,,,spotify:track:1kscjqI4FddS2IPXOUAgjL,,0.0151,0.485,260373,0.725,0.0,6,0.309,-4.433,0,0.25,142.856,4,0.48
5483,Russisch Tourette,Crackstreet Boys 3 (Bonus Tracks Version),"spotify:track:1kscjqI4FddS2IPXOUAgjL,spotify:track:4PRAtypWgj7Z8DKNTQeRsD",Trailerpark,,,,,,,,,,,,,
5484,"1,40m",Im Westen nix Neues,spotify:track:1kt88GVueID2jSrXgsfEAT,Prinz Pi,0.0328,0.7,259110,0.581,5.88e-06,10,0.11,-6.226,0,0.0922,80.026,4,0.444
5485,"Dead Island Trailer Theme (feat. Mairi Campbell, Peter Nicholson & Guido De Groot)","Dead Island Trailer Theme (feat. Mairi Campbell, Peter Nicholson & Guido De Groot) - Single",spotify:track:1ku6iz80ht16xPwQNglXTv,Giles Lamb,0.932,0.258,180000,0.251,0.918,6,0.105,-11.168,1,0.0313,58.457,4,0.0389
5486,Fragmentation,Oceanic,spotify:track:1kuA7gbZwqaEGyFIHNAmbp,Niklas Paschburg,0.957,0.421,228508,0.442,0.878,10,0.105,-17.155,1,0.0481,120.025,3,0.0371
5487,Surf,Circles,spotify:track:1kwnxJNVl7cwcU98RvMBaR,Mac Miller,0.754,0.828,330507,0.182,0.0706,1,0.15,-13.066,0,0.166,147.279,4,0.231
5488,Schwarze Flagge,Randalieren für die Liebe,spotify:track:1kyZq96bdgiN7SuzzDVQjg,Swiss & Die Andern,0.0669,0.526,213575,0.869,0.0,8,0.0965,-3.511,1,0.377,182.088,4,0.622
5489,Spells to fall asleep,Spells to fall asleep,spotify:track:1kz8yR7pxHC24f50ZVgC6V,Miscél,0.692,0.6,109741,0.034,0.906,10,0.0931,-29.361,1,0.0457,140.185,4,0.0491
5490,The Usual Amount,The Water Goes the Other Way,spotify:track:1l14GbDpBAVzgl5fsnjClP,Oliver Earnest,0.0121,0.443,281938,0.818,0.00012,4,0.133,-4.934,1,0.0331,111.02,4,0.24
5491,Das Trojanische Pferd,Anarchie und Alltag + Bonusalbum Atombombe auf Deutschland,spotify:track:1l1wiaTkKwOjsPxVevGoMf,Antilopen Gang,0.0848,0.56,245110,0.621,0.000287,10,0.0909,-8.372,0,0.264,83.619,4,0.468
5492,,,spotify:track:1l6DvDFssUqMnsFJNFnrRJ,,0.00661,0.494,234627,0.887,0.0,6,0.103,-4.297,0,0.398,89.554,4,0.548
5493,"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 3 - 2012","Recomposed By Max Richter: Vivaldi, The Four Seasons",spotify:track:1l8GdvJX9IgL3Ul7pdE87h,Max Richter,0.738,0.537,189160,0.302,0.905,4,0.122,-12.816,1,0.0324,110.58,4,0.413
5494,The Pot,"10,000 Days",spotify:track:1lATXTBJDHwawvT1UfxWu3,TOOL,0.000148,0.469,381947,0.79,0.372,7,0.282,-6.889,1,0.0391,107.45,4,0.466
5495,Der große Kölner Pfandflaschenbetrug,It's OK to Love DLDGG,spotify:track:1lBpHQhoZQ8fWHOvNozhsq,Die Liga der gewöhnlichen Gentlemen,0.018,0.711,179027,0.657,0.000854,3,0.0667,-6.541,1,0.0331,134.103,4,0.873
5496,We Are The Champions - Remastered 2011,News Of The World,spotify:track:1lCRw5FEZ1gPDNPzy1K4zW,Queen,0.378,0.268,179200,0.459,0.0,10,0.118,-6.94,1,0.0346,64.177,4,0.175
5497,Something Wild,Brave Enough,spotify:track:1lERZub1j4jIGwBOmtSjbN,Lindsey Stirling,0.3,0.562,224510,0.744,0.0,10,0.34,-4.796,1,0.0459,106.026,4,0.462
5498,Follow Me Like the Moon,Follow Me Like the Moon,spotify:track:1lExr2fRER9uMrpIBqArSO,Sammy Rae & The Friends,0.146,0.629,261903,0.853,6.78e-05,11,0.176,-5.043,0,0.0729,108.119,4,0.679
5499,Das schönste Kind unter der Sonne,Kinder-Hörspiel: Rapunzel,spotify:track:1lF898qXMZGlvS4wr9Ou5c,Kinderlieder,0.462,0.708,48562,0.108,0.0,6,0.167,-25.339,1,0.961,44.479,4,0.531
5500,Piddily Patter Patter,Night Time Is The Right Time,spotify:track:1lHv1I4n7nKOJI27o6XWCY,Nappy Brown,0.716,0.614,123867,0.497,0.0293,8,0.11,-7.675,1,0.188,184.193,4,0.965
5501,Juju on That Beat (TZ Anthem),Juju on That Beat (TZ Anthem),spotify:track:1lItf5ZXJc1by9SbPeljFd,Zay Hilfigerrr,0.00381,0.807,144244,0.887,0.0,1,0.391,-3.892,1,0.275,160.517,4,0.78
5502,Me and My Friends Are Lonely,Who Killed Matt Maeson,spotify:track:1lLGOHbOgsrJ2tFQYKNK44,Matt Maeson,0.0558,0.668,180320,0.491,0.0,0,0.15,-8.997,0,0.111,74.028,4,0.49
5503,Autumn in My Heart,Embre,spotify:track:1lLL1Jo67MDc11t7dVfKFM,Mura Kami,0.731,0.805,148571,0.184,0.135,7,0.0769,-18.489,0,0.278,84.096,4,0.782
5504,Psychedelic Sally,Body And Soul,spotify:track:1lMBH54OB2OmIHpDSZdC0p,Eddie Jefferson,0.458,0.54,168373,0.479,3.09e-06,10,0.298,-14.439,0,0.059,126.116,4,0.89
5505,Beauty of the Unhidden Heart - Bassnectar Remix,Love Death Immortality (Remixes),spotify:track:1lNM9XSCbYhKJ7ye7Ldbh1,The Glitch Mob,0.00482,0.279,334000,0.79,0.203,0,0.121,-6.143,0,0.0511,73.088,4,0.0641
5506,,,spotify:track:1lORkxEMmsCZqhoxcmk3A3,,0.931,0.555,162797,0.27,0.544,2,0.103,-15.892,1,0.0888,139.681,3,0.271
5507,Nothing,To Let A Good Thing Die,"spotify:track:1lORkxEMmsCZqhoxcmk3A3,spotify:track:2IAR0DziHCjSu16gR4ihvy",Bruno Major,,,,,,,,,,,,,
5508,Ransom,We Love You Tecca,spotify:track:1lOe9qE0vR9zwWQAOk6CoO,Lil Tecca,0.0204,0.745,131240,0.642,0.0,7,0.0658,-6.257,0,0.287,179.974,4,0.226
5509,Swipe Up,Swipe Up,spotify:track:1lReI2EBtxtgLbwtjST1sz,Pilz,0.00313,0.886,231022,0.784,0.000461,1,0.243,-8.525,0,0.257,119.998,4,0.509
5510,Atlantis,Atlantis,spotify:track:1lTniMxogaJDczpuBXeUUm,Blue Side Park,0.00272,0.65,289209,0.436,0.0202,0,0.121,-12.077,1,0.0406,90.003,4,0.342
5511,Rocky Raccoon,Mother Nature's Son,spotify:track:1lTo5DqdPcHWI82OD3xZqu,Ramsey Lewis,0.536,0.548,158533,0.51,0.0542,5,0.261,-12.044,1,0.0622,103.273,4,0.567
5512,Tykky Interludium,peaceful weibs,spotify:track:1lXpeQ09DJtCXh2sTZfFRb,Flughand,0.87,0.721,50509,0.175,0.902,7,0.107,-12.387,1,0.0717,80.965,4,0.632
5513,Recite Remorse,Out in the Storm,spotify:track:1lcHu7OTXCRQrlBV4XJiOW,Waxahatchee,0.505,0.228,278067,0.38,0.00441,9,0.106,-6.774,1,0.0307,112.81,4,0.173
5514,Immunity,Immunity,spotify:track:1ldGVJUNxjUDAJp0vZLMq5,Gustav Joseph,0.974,0.333,156645,0.1,0.908,4,0.108,-29.134,1,0.0417,116.512,4,0.173
5515,The Judge,Blurryface,spotify:track:1lguQJjlNrIOoOylYVZN3M,Twenty One Pilots,0.177,0.423,297760,0.797,0.0,0,0.137,-4.659,1,0.124,82.617,4,0.592
5516,Intro,"2 Zimmer, Küche, Bong",spotify:track:1lhO0Ke93VSQTwfFGGhiau,Timi Hendrix,0.108,0.595,101333,0.959,0.0,10,0.611,-2.385,0,0.376,85.911,4,0.322
5517,Oriental Tales,Shanti,spotify:track:1ljBBK6uIhjuxmL7etHP39,Rapossa,0.000476,0.751,503400,0.598,0.831,2,0.0616,-7.636,1,0.0412,99.991,4,0.176
5518,Wife You Up,Wife You Up,spotify:track:1lmDRuRa12CImUQziVfVw5,Russ,0.198,0.787,183253,0.508,0.0,6,0.0834,-7.786,0,0.137,83.975,4,0.457
5519,No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),spotify:track:1louJpMmzEicAn7lzDalPW,Cheat Codes,0.0575,0.741,223504,0.667,0.0,10,0.106,-5.445,1,0.134,112.956,4,0.595
5520,Bruder muss los,Bruder muss los,spotify:track:1lp3An6CXOsiLJiz0tjd1T,Leon Machère,0.158,0.754,135123,0.862,0.000269,4,0.206,-5.792,0,0.142,123.048,4,0.753
5521,Come Closer,Immortal Changes,spotify:track:1lpbjt1C56RxsqRdVXlNSf,Robert Babicz,0.0132,0.797,407619,0.561,0.918,9,0.0798,-12.264,0,0.0552,124.007,4,0.586
5522,Trap House Kitchen,Trap House Kitchen,spotify:track:1lpml1m6A6VZ65SJw2kPsF,Money Boy,0.176,0.76,166500,0.602,0.0,7,0.273,-6.193,1,0.356,161.985,4,0.454
5523,,,spotify:track:1lr7GQCiyfQUAgnM5E5hzr,,0.011,0.498,190768,0.914,0.00162,5,0.418,-2.348,1,0.0858,141.008,4,0.304
5524,You & I,You & I,"spotify:track:1lr7GQCiyfQUAgnM5E5hzr,spotify:track:0zJd6R7D0Zoyp8hTVl874l",Nightcore,,,,,,,,,,,,,
5525,Left Hand Free,This Is All Yours,spotify:track:1lrJG7wz58YNVlbJ6s6fJO,alt-J,0.457,0.697,173631,0.877,0.00961,3,0.083,-4.465,1,0.0463,101.99,4,0.802
5526,Boss Mode,Abandon Ship,spotify:track:1ltFgxgeQCd8z6BPRmcNxb,Knife Party,0.00174,0.542,227280,0.978,0.651,8,0.0255,-2.404,0,0.121,176.046,4,0.313
5527,Loa,Loa,spotify:track:1lvDrlinwwnRGK59BT2l30,Camo & Krooked,0.0391,0.452,279771,0.98,0.426,1,0.353,-1.109,1,0.174,87.526,4,0.292
5528,,,spotify:track:1lvgA9sK8aCydWM6f6lE6s,,0.459,0.513,174867,0.493,0.0942,2,0.112,-8.726,1,0.025,77.818,1,0.53
5529,Drifting on a Summer's Night,Drifting on a Summer's Night,"spotify:track:1lvgA9sK8aCydWM6f6lE6s,spotify:track:3e3X9Tzj7gHczvldaW4x3u",The Deep Dark Woods,,,,,,,,,,,,,
5530,In the office,WORK & Jazz Piano,spotify:track:1lvwwawq59DgRmBL0v63bh,Cafe Music BGM channel,0.922,0.388,187622,0.0979,0.936,5,0.111,-24.144,0,0.039,174.609,3,0.215
5531,Lullabyes,Aviscerall,spotify:track:1lwCqBqzMEyYxWew1PDktS,Aviscerall,0.88,0.674,163814,0.648,0.916,10,0.0985,-10.901,1,0.0423,85.017,4,0.329
5532,survivin',survivin',spotify:track:1lwvJQGhdq6Kyr4BBquf23,Bastille,0.25,0.787,173206,0.78,0.0,7,0.0908,-5.023,1,0.129,95.035,4,0.68
5533,Far Away,Escapade,spotify:track:1lyjTYNyeHiUdEfthHCT1R,Swørn,0.854,0.563,106767,0.183,0.886,1,0.126,-15.39,1,0.0821,162.058,4,0.189
5534,"Helden des Olymp - Der Sohn des Neptun, Kapitel 49","Helden des Olymp, Teil 2: Der Sohn des Neptun",spotify:track:1m0fh2Ssv1ohoOXYPTuAYn,Rick Riordan,0.161,0.626,388262,0.362,0.0,2,0.361,-14.903,1,0.957,82.252,3,0.624
5535,"Marie, Marie","Marie, Marie",spotify:track:1m18nUwdt5peUZT7643qwg,Graustufe West,0.00226,0.581,206250,0.827,3.55e-05,2,0.0435,-6.767,1,0.0401,89.947,4,0.736
5536,Blah Blah Blah,Blah Blah Blah,spotify:track:1m1nkTDqTntuG9HaOo4Jn7,Armin van Buuren,0.00892,0.385,183519,0.963,0.00348,5,0.294,-3.912,0,0.0633,138.025,4,0.163
5537,Space,Space,spotify:track:1m4xJyiMsXQJ8ZhqNvod8v,Jost Esser,0.703,0.705,99590,0.184,0.808,9,0.0848,-11.999,0,0.0777,82.02,4,0.517
5538,See the Sun,Third Eye of the Storm,spotify:track:1m7NSANDofMtXcl8u6olyn,Fliptrix,0.712,0.687,230773,0.692,0.0,5,0.46,-6.642,1,0.258,89.795,4,0.639
5539,In Passing,2 Am. Study Session,spotify:track:1m7dIu65R93XCHNL5I7ugs,stream_error,0.776,0.547,170526,0.257,0.906,5,0.117,-16.185,1,0.0503,152.002,4,0.0856
5540,Make Me Rainbows,Notes From New York,spotify:track:1m8uCoir0UBFB6wRxchbDG,Bill Charlap Trio,0.825,0.64,424947,0.126,0.855,11,0.0736,-22.783,0,0.0438,109.071,4,0.248
5541,I'm Going to Tell You,Painting Sounds,spotify:track:1mAOHPG4li3vdjE9NQQMzD,Barney Artist,0.802,0.581,185000,0.415,0.00159,5,0.0961,-9.125,0,0.435,89.076,4,0.352
5542,The Drug In Me Is You,The Drug In Me Is You,spotify:track:1mB7dCUM7sPyNab6R43nlj,Falling In Reverse,0.0149,0.548,218787,0.855,0.0,3,0.127,-3.266,1,0.151,145.133,4,0.644
